,home_team,away_team,home_goals,away_goals,home_goals_half,away_goals_half,matchweek
80,VfL Bochum ,Eintracht Frankfurt ,2,0,1,0,9
81,TSG Hoffenheim ,Hertha BSC ,2,0,2,0,10
82,Borussia Dortmund ,1. FC Köln ,2,0,1,0,10
83,Bayer 04 Leverkusen ,VfL Wolfsburg ,0,2,0,0,10
84,1. FC Union Berlin ,Bayern München ,2,5,1,3,10
85,SC Freiburg ,SpVgg Greuther Fürth ,3,1,2,0,10
86,Arminia Bielefeld ,1. FSV Mainz 05 ,1,2,1,1,10
87,Eintracht Frankfurt ,RB Leipzig ,1,1,0,1,10
88,FC Augsburg ,VfB Stuttgart ,4,1,1,1,10
89,Bor. Mönchengladbach ,VfL Bochum ,2,1,2,0,10
90,1. FSV Mainz 05 ,Bor. Mönchengladbach ,1,1,0,1,11
91,Bayern München ,SC Freiburg ,2,1,1,0,11
92,VfL Wolfsburg ,FC Augsburg ,1,0,1,0,11
93,VfB Stuttgart ,Arminia Bielefeld ,0,1,0,1,11
94,VfL Bochum ,TSG Hoffenheim ,2,0,0,0,11
95,RB Leipzig ,Borussia Dortmund ,2,1,1,0,11
96,Hertha BSC ,Bayer 04 Leverkusen ,1,1,1,0,11
97,1. FC Köln ,1. FC Union Berlin ,2,2,1,2,11
98,SpVgg Greuther Fürth ,Eintracht Frankfurt ,1,2,0,0,11
99,FC Augsburg ,Bayern München ,2,1,2,1,12
100,Borussia Dortmund ,VfB Stuttgart ,2,1,0,0,12
101,Bayer 04 Leverkusen ,VfL Bochum ,1,0,1,0,12
102,Bor. Mönchengladbach ,SpVgg Greuther Fürth ,4,0,3,0,12
103,TSG Hoffenheim ,RB Leipzig ,2,0,1,0,12
104,Arminia Bielefeld ,VfL Wolfsburg ,2,2,1,0,12
105,1. FC Union Berlin ,Hertha BSC ,2,0,2,0,12
106,SC Freiburg ,Eintracht Frankfurt ,0,2,0,2,12
107,1. FSV Mainz 05 ,1. FC Köln ,1,1,1,0,12
108,VfB Stuttgart ,1. FSV Mainz 05 ,2,1,1,1,13
109,VfL Wolfsburg ,Borussia Dortmund ,1,3,1,1,13
110,Hertha BSC ,FC Augsburg ,1,1,1,0,13
111,1. FC Köln ,Bor. Mönchengladbach ,4,1,0,0,13
112,VfL Bochum ,SC Freiburg ,2,1,0,0,13
113,SpVgg Greuther Fürth ,TSG Hoffenheim ,3,6,1,2,13
114,Bayern München ,Arminia Bielefeld ,1,0,0,0,13
115,Eintracht Frankfurt ,1. FC Union Berlin ,2,1,1,0,13
116,RB Leipzig ,Bayer 04 Leverkusen ,1,3,0,2,13
117,1. FC Union Berlin ,RB Leipzig ,2,1,1,1,14
118,Bayer 04 Leverkusen ,SpVgg Greuther Fürth ,7,1,3,1,14
119,TSG Hoffenheim ,Eintracht Frankfurt ,3,2,2,1,14
120,1. FSV Mainz 05 ,VfL Wolfsburg ,3,0,2,0,14
121,FC Augsburg ,VfL Bochum ,2,3,0,3,14
122,Arminia Bielefeld ,1. FC Köln ,1,1,0,1,14
123,Borussia Dortmund ,Bayern München ,2,3,1,2,14
124,VfB Stuttgart ,Hertha BSC ,2,2,2,1,14
125,Bor. Mönchengladbach ,SC Freiburg ,0,6,0,6,14
126,1. FC Köln ,FC Augsburg ,0,2,0,0,15
127,Bayern München ,1. FSV Mainz 05 ,2,1,0,1,15
128,RB Leipzig ,Bor. Mönchengladbach ,4,1,2,0,15
129,SC Freiburg ,TSG Hoffenheim ,1,2,1,1,15
130,Hertha BSC ,Arminia Bielefeld ,2,0,0,0,15
131,VfL Bochum ,Borussia Dortmund ,1,1,1,0,15
132,VfL Wolfsburg ,VfB Stuttgart ,0,2,0,1,15
133,SpVgg Greuther Fürth ,1. FC Union Berlin ,1,0,0,0,15
134,Eintracht Frankfurt ,Bayer 04 Leverkusen ,5,2,2,2,15
135,VfB Stuttgart ,Bayern München ,0,5,0,1,16
136,VfL Wolfsburg ,1. FC Köln ,2,3,1,1,16
137,1. FSV Mainz 05 ,Hertha BSC ,4,0,2,0,16
138,Arminia Bielefeld ,VfL Bochum ,2,0,0,0,16
139,Bor. Mönchengladbach ,Eintracht Frankfurt ,2,3,1,1,16
140,Borussia Dortmund ,SpVgg Greuther Fürth ,3,0,1,0,16
141,Bayer 04 Leverkusen ,TSG Hoffenheim ,2,2,1,0,16
142,1. FC Union Berlin ,SC Freiburg ,0,0,0,0,16
143,FC Augsburg ,RB Leipzig ,1,1,0,1,16
144,Bayern München ,VfL Wolfsburg ,4,0,1,0,17
145,RB Leipzig ,Arminia Bielefeld ,0,2,0,0,17
146,Eintracht Frankfurt ,1. FSV Mainz 05 ,1,0,1,0,17
147,TSG Hoffenheim ,Bor. Mönchengladbach ,1,1,0,1,17
148,VfL Bochum ,1. FC Union Berlin ,0,1,0,1,17
149,SpVgg Greuther Fürth ,FC Augsburg ,0,0,0,0,17
150,Hertha BSC ,Borussia Dortmund ,3,2,0,1,17
151,SC Freiburg ,Bayer 04 Leverkusen ,2,1,1,1,17
152,1. FC Köln ,VfB Stuttgart ,1,0,0,0,17
153,Bayern München ,Bor. Mönchengladbach ,1,2,1,2,18
154,RB Leipzig ,1. FSV Mainz 05 ,4,1,1,0,18
155,Bayer 04 Leverkusen ,1. FC Union Berlin ,2,2,1,1,18
156,SC Freiburg ,Arminia Bielefeld ,2,2,1,0,18
157,TSG Hoffenheim ,FC Augsburg ,3,1,2,1,18
158,SpVgg Greuther Fürth ,VfB Stuttgart ,0,0,0,0,18
159,Eintracht Frankfurt ,Borussia Dortmund ,2,3,2,0,18
160,Hertha BSC ,1. FC Köln ,1,3,0,2,18
161,VfL Bochum ,VfL Wolfsburg ,1,0,0,0,18
162,Borussia Dortmund ,SC Freiburg ,5,1,3,0,19
163,VfL Wolfsburg ,Hertha BSC ,0,0,0,0,19
164,1. FC Union Berlin ,TSG Hoffenheim ,2,1,1,1,19
165,VfB Stuttgart ,RB Leipzig ,0,2,0,1,19
166,1. FSV Mainz 05 ,VfL Bochum ,1,0,0,0,19
167,1. FC Köln ,Bayern München ,0,4,0,2,19
168,Bor. Mönchengladbach ,Bayer 04 Leverkusen ,1,2,0,0,19
169,FC Augsburg ,Eintracht Frankfurt ,1,1,1,1,19
170,Arminia Bielefeld ,SpVgg Greuther Fürth ,2,2,1,1,19
171,Eintracht Frankfurt ,Arminia Bielefeld ,0,2,0,2,20
172,Bayer 04 Leverkusen ,FC Augsburg ,5,1,2,0,20
173,Bor. Mönchengladbach ,1. FC Union Berlin ,1,2,1,1,20
174,SC Freiburg ,VfB Stuttgart ,2,0,1,0,20
175,TSG Hoffenheim ,Borussia Dortmund ,2,3,1,1,20
176,SpVgg Greuther Fürth ,1. FSV Mainz 05 ,2,1,1,0,20
177,VfL Bochum ,1. FC Köln ,2,2,1,2,20
178,RB Leipzig ,VfL Wolfsburg ,2,0,0,0,20
179,Hertha BSC ,Bayern München ,1,4,0,2,20
180,Hertha BSC ,VfL Bochum ,1,1,1,0,21
181,VfB Stuttgart ,Eintracht Frankfurt ,2,3,1,1,21
182,1. FSV Mainz 05 ,TSG Hoffenheim ,2,0,0,0,21
183,FC Augsburg ,1. FC Union Berlin ,2,0,1,0,21
184,Arminia Bielefeld ,Bor. Mönchengladbach ,1,1,1,1,21
185,1. FC Köln ,SC Freiburg ,1,0,1,0,21
186,Bayern München ,RB Leipzig ,3,2,2,1,21
187,Borussia Dortmund ,Bayer 04 Leverkusen ,2,5,1,3,21
188,VfL Wolfsburg ,SpVgg Greuther Fürth ,4,1,1,1,21
