,matchday,games,home,away
98,11,198,Arminia Bielefeld ,1. FC Union Berlin 
99,12,72,1. FC Köln ,Bayer 04 Leverkusen 
100,12,139,Bor. Mönchengladbach ,Eintracht Frankfurt 
101,12,156,SC Freiburg ,Arminia Bielefeld 
102,12,175,Hertha BSC ,Bayern München 
103,12,214,TSG Hoffenheim ,VfB Stuttgart 
104,12,247,Borussia Dortmund ,RB Leipzig 
105,12,271,VfL Wolfsburg ,1. FSV Mainz 05 
106,12,303,FC Augsburg ,SpVgg Greuther Fürth 
107,12,305,1. FC Union Berlin ,VfL Bochum 
108,13,50,SC Freiburg ,FC Augsburg 
109,13,134,VfL Wolfsburg ,VfB Stuttgart 
110,13,138,Bayer 04 Leverkusen ,TSG Hoffenheim 
111,13,153,Hertha BSC ,1. FC Köln 
112,13,173,SpVgg Greuther Fürth ,1. FSV Mainz 05 
113,13,174,Eintracht Frankfurt ,Arminia Bielefeld 
114,13,237,VfL Bochum ,Bor. Mönchengladbach 
115,13,270,RB Leipzig ,1. FC Union Berlin 
116,13,275,Bayern München ,Borussia Dortmund 
117,14,81,1. FC Union Berlin ,Bayern München 
118,14,168,Arminia Bielefeld ,SpVgg Greuther Fürth 
119,14,229,Bor. Mönchengladbach ,Hertha BSC 
120,14,240,VfB Stuttgart ,FC Augsburg 
121,14,260,RB Leipzig ,TSG Hoffenheim 
122,14,286,Borussia Dortmund ,VfL Bochum 
123,14,296,1. FC Köln ,VfL Wolfsburg 
124,14,299,1. FSV Mainz 05 ,Eintracht Frankfurt 
125,14,302,Bayer 04 Leverkusen ,SC Freiburg 
126,15,37,1. FSV Mainz 05 ,SC Freiburg 
127,15,48,Eintracht Frankfurt ,1. FC Köln 
128,15,56,Arminia Bielefeld ,Bayer 04 Leverkusen 
129,15,193,1. FC Union Berlin ,Borussia Dortmund 
130,15,213,VfL Bochum ,RB Leipzig 
131,15,228,TSG Hoffenheim ,Bayern München 
132,15,251,FC Augsburg ,VfL Wolfsburg 
133,15,256,SpVgg Greuther Fürth ,Bor. Mönchengladbach 
134,15,278,Hertha BSC ,VfB Stuttgart 
135,16,8,VfL Wolfsburg ,VfL Bochum 
136,16,11,Eintracht Frankfurt ,FC Augsburg 
137,16,14,SC Freiburg ,Borussia Dortmund 
138,16,36,1. FC Köln ,RB Leipzig 
139,16,46,Bayer 04 Leverkusen ,1. FSV Mainz 05 
140,16,96,VfB Stuttgart ,Arminia Bielefeld 
141,16,204,Bayern München ,SpVgg Greuther Fürth 
142,16,252,Hertha BSC ,1. FC Union Berlin 
143,16,304,Bor. Mönchengladbach ,TSG Hoffenheim 
144,17,24,FC Augsburg ,Bayer 04 Leverkusen 
145,17,44,VfL Wolfsburg ,Eintracht Frankfurt 
146,17,49,RB Leipzig ,Hertha BSC 
147,17,66,Borussia Dortmund ,1. FSV Mainz 05 
148,17,71,TSG Hoffenheim ,1. FC Köln 
149,17,218,VfB Stuttgart ,Bor. Mönchengladbach 
150,17,262,Arminia Bielefeld ,Bayern München 
151,17,268,SC Freiburg ,VfL Bochum 
152,17,285,1. FC Union Berlin ,SpVgg Greuther Fürth 
153,18,2,1. FSV Mainz 05 ,RB Leipzig 
154,18,85,Borussia Dortmund ,1. FC Köln 
155,18,154,Bayer 04 Leverkusen ,1. FC Union Berlin 
156,18,191,TSG Hoffenheim ,Arminia Bielefeld 
157,18,195,SpVgg Greuther Fürth ,Hertha BSC 
158,18,215,Bor. Mönchengladbach ,VfL Wolfsburg 
159,18,259,Eintracht Frankfurt ,SC Freiburg 
160,18,276,VfL Bochum ,FC Augsburg 
161,18,295,Bayern München ,VfB Stuttgart 
162,19,19,1. FC Union Berlin ,Bor. Mönchengladbach 
163,19,39,Bayern München ,VfL Bochum 
164,19,74,Arminia Bielefeld ,Borussia Dortmund 
165,19,86,Eintracht Frankfurt ,RB Leipzig 
166,19,93,Hertha BSC ,Bayer 04 Leverkusen 
167,19,114,VfB Stuttgart ,1. FSV Mainz 05 
168,19,205,VfL Wolfsburg ,TSG Hoffenheim 
169,19,241,SpVgg Greuther Fürth ,SC Freiburg 
170,19,279,FC Augsburg ,1. FC Köln 
171,20,43,VfB Stuttgart ,Bayer 04 Leverkusen 
172,20,47,Bor. Mönchengladbach ,Borussia Dortmund 
173,20,90,1. FC Köln ,1. FC Union Berlin 
174,20,186,VfL Wolfsburg ,SpVgg Greuther Fürth 
175,20,220,Hertha BSC ,Eintracht Frankfurt 
176,20,235,1. FSV Mainz 05 ,Arminia Bielefeld 
177,20,245,SC Freiburg ,Bayern München 
178,20,250,TSG Hoffenheim ,VfL Bochum 
179,20,294,RB Leipzig ,FC Augsburg 
180,21,23,Borussia Dortmund ,TSG Hoffenheim 
181,21,27,1. FC Union Berlin ,FC Augsburg 
182,21,30,Eintracht Frankfurt ,VfB Stuttgart 
183,21,32,SC Freiburg ,1. FC Köln 
184,21,83,Bayer 04 Leverkusen ,VfL Wolfsburg 
185,21,127,Bayern München ,1. FSV Mainz 05 
186,21,130,RB Leipzig ,Bor. Mönchengladbach 
187,21,223,VfL Bochum ,SpVgg Greuther Fürth 
